0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:08:12 -0300] "GET /crudjspjava/editform.jsp?codlivro=9 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:08:16 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:23:20 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:23:23 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:23:25 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:23:26 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:23:30 -0300] "GET /crudjspjava/editform.jsp?codlivro=4 HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:35:39 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:35:41 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:35:42 -0300] "GET /crudjspjava/editform.jsp?codlivro=1 HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:35:58 -0300] "GET /crudjspjava/editform.jsp?codlivro=7 HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:40:01 -0300] "GET /crudjspjava/inicio.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:40:08 -0300] "GET /crudjspjava/viewlivros.jsp HTTP/1.1" 200 3176
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:40:12 -0300] "GET /crudjspjava/editform.jsp?codlivro=6 HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:40:20 -0300] "GET /crudjspjava/editform.jsp?codlivro=11 HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [03/Nov/2022:18:40:46 -0300] "GET /crudjspjava/editform.jsp?codlivro=11 HTTP/1.1" 200 469
